relative_path,category,size_bytes,sha256,modified_utc
Primee/LLM Datasets/BEST DATA/converted_chat.jsonl,dataset_or_tokenizer,286403295,c423974744227c2eb1567665358318af31434a928a68f08a33ec4c2debf969db,2025-08-13T00:57:07.807340+00:00
Primee/LLM Datasets/BEST DATA/data_rag.jsonl,dataset_or_tokenizer,53794711,5945e3b1d5b179012d9936ef1b511681385e0d5ff352e86a314f10ec7877521e,2025-08-13T00:42:46.602741+00:00
Primee/LLM Datasets/BEST DATA/merged_no_tables_100k.jsonl,dataset_or_tokenizer,111048688,0062ab9c8e688e6b29bc5008964c0a1a97c06aa97593270fbcade3c4e1104712,2025-08-13T01:07:00.122720+00:00
Primee/LLM Datasets/BEST DATA/mixed chat veri özellikleri/77161b4b-20d9-4d13-8198-4025b8549dfa.png,documentation_or_visual_evidence,80099,05e8300325053dc46f69914fd8ec47d7ec30d009a622772b8c76734d42aa5dc2,2025-08-13T14:32:17.898787+00:00
Primee/LLM Datasets/BEST DATA/mixed chat veri özellikleri/8dad54ff-c0a2-4c61-84c0-4be0eeecf62d.png,documentation_or_visual_evidence,72456,52ecb9e86db6b784158c1402d785651a4628702f571dd06d628cc661aaa0cab4,2025-08-13T14:32:23.495013+00:00
Primee/LLM Datasets/BEST DATA/mixed chat veri özellikleri/f186b392-1634-4878-8242-75e91d01e4e9.png,documentation_or_visual_evidence,81728,acaf418b82001517a050a2690201dac7331cb7d8d76887bd151ab8271e92eb3b,2025-08-13T14:32:08.322258+00:00
Primee/LLM Datasets/BEST DATA/mixed chat veri özellikleri/mix_chat_50k_audit__first_200_rows_.csv,dataset_or_tokenizer,11017,b2e5a1cbc3751fcf8e7625d4def11e1cf4da95471b4153685f4983bb814325c8,2025-08-13T14:08:04.436053+00:00
Primee/LLM Datasets/BEST DATA/mixed chat veri özellikleri/mix_chat_50k_audit_summary.json,dataset_or_tokenizer,994,040957afeb690699a84dc2cf0434b0f62bfccf6937ca548cb10fd8da5215c9ce,2025-08-13T14:09:21.492319+00:00
Primee/LLM Datasets/BEST DATA/mixed chat veri özellikleri/mix_chat_50k_outliers.csv,dataset_or_tokenizer,11528,7aad1ce8655e4375276280d7f84d197bee5c77f3993c9b8f23e4139bac9d17bf,2025-08-13T14:09:15.007834+00:00
Primee/LLM Datasets/BEST DATA/mixed chat veri özellikleri/open.py,training_or_test_code,12564,cc83c9442ff9d03a7eb6a4464be09b5cb7e8bc18c0c34624793aa8741f517d18,2025-08-13T13:51:48.767023+00:00
Primee/LLM Datasets/BEST DATA/mixed chat veri özellikleri/özet.txt,documentation_or_visual_evidence,1046,db9090bb0684f987d270b065b12c5abed45095cc205cee2e89d7ce71f01429fb,2025-08-13T14:31:27.230242+00:00
Primee/LLM Datasets/BEST DATA/s.py,training_or_test_code,5649,905906ed8d085ccb8bcb2a7ee10d767018bfa1259c242045ac86f5058bab3411,2025-08-13T14:38:34.732617+00:00
Primee/LLM Datasets/chit_chat.py,training_or_test_code,3810,b5a4c9b84f947618ca521089ad7a111a534e5070a3b5bad98f06496a36399599,2025-08-05T16:04:19.321506+00:00
Primee/LLM Datasets/data52.jsonl,dataset_or_tokenizer,103155693,9867070f119386b9e6df7a6a735f62a4bb2e7c2db05913289b4b46603186603a,2025-08-11T18:18:31.565402+00:00
Primee/LLM Datasets/dataset_MiniLM-L6/chat.jsonl,dataset_or_tokenizer,186714,953c1dce54f82a884cef58b724f9a9ecf83c96f58d07b6e456ed752e4ab36d29,2025-09-11T14:44:02.849530+00:00
Primee/LLM Datasets/dataset_MiniLM-L6/close_camera.jsonl,dataset_or_tokenizer,100179,bc7578eb66d3aa2b1f42b0069083f41f02c6c425d96397e5d9289af7a2f5d582,2025-09-11T20:24:50.310788+00:00
Primee/LLM Datasets/dataset_MiniLM-L6/object_detect.jsonl,dataset_or_tokenizer,111023,9802994a7a741c5815f1b42e8ad7b3bda7075e50e66ac2f06262801ad1862e66,2025-09-11T20:31:47.802857+00:00
